customerID,unionInfoPointer,unionCode,unionCraft,unionClass,projectID,benefitOption,unionFringe,fringeDescription,fringeRate,calculationMethod,baseCode,vendor,paymentModel,Createdby,modifiedBy,validFrom,validTo
10,10005453,1291,*,*,*,,9F19,Vacation,4.87000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10005453,1291,*,*,*,,9F59,H & W,8.10000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10005453,1291,*,*,*,,9F60,Pension,9.07000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10005453,1291,*,*,*,,9F26,Annuity,1.25000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10005453,1291,*,*,*,,9F51,CCC,0.30000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10005453,1291,*,*,*,,9F50,Contract Admin,0.15000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10005453,1291,*,*,*,,9F63,SCPFJ,0.16000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10005453,1291,*,*,*,,9F11,Training,0.70000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10005453,1291,*,*,*,,9F62,Vacation Taxable,4.87000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10003975,1291,LB,A50,*,,9F19,Vacation,3.41000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10003975,1291,LB,A50,*,,9F59,H & W,5.67000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10003975,1291,LB,A50,*,,9F60,Pension,1.81000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10003975,1291,LB,A50,*,,9F62,Vacation Taxable,3.41000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10003976,1291,LB,A55,*,,9F19,Vacation,3.41000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10003976,1291,LB,A55,*,,9F59,H & W,5.67000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10003976,1291,LB,A55,*,,9F60,Pension,1.81000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10003976,1291,LB,A55,*,,9F62,Vacation Taxable,3.41000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10003977,1291,LB,A60,*,,9F19,Vacation,3.41000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10003977,1291,LB,A60,*,,9F59,H & W,5.67000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10003977,1291,LB,A60,*,,9F60,Pension,1.81000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10003977,1291,LB,A60,*,,9F62,Vacation Taxable,3.41000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10003978,1291,LB,A70,*,,9F19,Vacation,3.41000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10003978,1291,LB,A70,*,,9F59,H & W,5.67000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10003978,1291,LB,A70,*,,9F60,Pension,1.81000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10003978,1291,LB,A70,*,,9F62,Vacation Taxable,3.41000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10003979,1291,LB,A80,*,,9F19,Vacation,3.41000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10003979,1291,LB,A80,*,,9F59,H & W,5.67000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10003979,1291,LB,A80,*,,9F60,Pension,1.81000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10003979,1291,LB,A80,*,,9F62,Vacation Taxable,3.41000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10003980,1291,LB,A85,*,,9F19,Vacation,3.41000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10003980,1291,LB,A85,*,,9F59,H & W,5.67000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10003980,1291,LB,A85,*,,9F60,Pension,1.81000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10003980,1291,LB,A85,*,,9F62,Vacation Taxable,3.41000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10006447,1291,LB,AG1,*,,9F19,Vacation,3.41000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10006447,1291,LB,AG1,*,,9F59,H & W,5.67000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10006447,1291,LB,AG1,*,,9F62,Vacation Taxable,3.41000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10006803,1291,LB,AG2,*,,9F19,Vacation,3.41000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10006803,1291,LB,AG2,*,,9F59,H & W,5.67000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
10,10006803,1291,LB,AG2,*,,9F62,Vacation Taxable,3.41000,H,9X04,1000100,,jchen,jchen,2021-01-01,9999-12-31
